filepath,label
data/train\angry\aug_0_1716.jpeg,angry
data/train\angry\aug_0_1719.jpeg,angry
data/train\angry\aug_0_1720.jpeg,angry
data/train\angry\aug_0_173.jpeg,angry
data/train\angry\aug_0_1730.jpeg,angry
data/train\angry\aug_0_1731.jpeg,angry
data/train\angry\aug_0_1738.jpeg,angry
data/train\angry\aug_0_1739.jpeg,angry
data/train\angry\aug_0_1743.jpeg,angry
data/train\angry\aug_0_175.jpeg,angry
data/train\angry\aug_0_1752.jpeg,angry
data/train\angry\aug_0_1757.jpeg,angry
data/train\angry\aug_0_1760.jpeg,angry
data/train\angry\aug_0_1768.jpeg,angry
data/train\angry\aug_0_1771.jpeg,angry
data/train\angry\aug_0_1774.jpeg,angry
data/train\angry\aug_0_1778.jpeg,angry
data/train\angry\aug_0_1780.jpeg,angry
data/train\angry\aug_0_1791.jpeg,angry
data/train\angry\aug_0_1792.jpeg,angry
data/train\angry\aug_0_1794.jpeg,angry
data/train\angry\aug_0_1795.jpeg,angry
data/train\angry\aug_0_1797.jpeg,angry
data/train\angry\aug_0_1798.jpeg,angry
data/train\angry\aug_0_180.jpeg,angry
data/train\angry\aug_0_1800.jpeg,angry
data/train\angry\aug_0_1801.jpeg,angry
data/train\angry\aug_0_1805.jpeg,angry
data/train\angry\aug_0_1806.jpeg,angry
data/train\angry\aug_0_181.jpeg,angry
data/train\angry\aug_0_1815.jpeg,angry
data/train\angry\aug_0_1816.jpeg,angry
data/train\angry\aug_0_1820.jpeg,angry
data/train\angry\aug_0_1821.jpeg,angry
data/train\angry\aug_0_1824.jpeg,angry
data/train\angry\aug_0_1827.jpeg,angry
data/train\angry\aug_0_1828.jpeg,angry
data/train\angry\aug_0_1829.jpeg,angry
data/train\angry\aug_0_1832.jpeg,angry
data/train\angry\aug_0_1833.jpeg,angry
data/train\angry\aug_0_1834.jpeg,angry
data/train\angry\aug_0_1843.jpeg,angry
data/train\angry\aug_0_1847.jpeg,angry
data/train\angry\aug_0_1848.jpeg,angry
data/train\angry\aug_0_1852.jpeg,angry
data/train\angry\aug_0_1853.jpeg,angry
data/train\angry\aug_0_1856.jpeg,angry
data/train\angry\aug_0_1858.jpeg,angry
data/train\angry\aug_0_186.jpeg,angry
data/train\angry\aug_0_1861.jpeg,angry
data/train\angry\aug_0_1864.jpeg,angry
data/train\angry\aug_0_1865.jpeg,angry
data/train\angry\aug_0_1866.jpeg,angry
data/train\angry\aug_0_1869.jpeg,angry
data/train\angry\aug_0_187.jpeg,angry
data/train\angry\aug_0_1873.jpeg,angry
data/train\angry\aug_0_1878.jpeg,angry
data/train\angry\aug_0_1879.jpeg,angry
data/train\angry\aug_0_1882.jpeg,angry
data/train\angry\aug_0_1892.jpeg,angry
data/train\angry\aug_0_1893.jpeg,angry
data/train\angry\aug_0_1906.jpeg,angry
data/train\angry\aug_0_1907.jpeg,angry
data/train\angry\aug_0_1910.jpeg,angry
data/train\angry\aug_0_1913.jpeg,angry
data/train\angry\aug_0_1914.jpeg,angry
data/train\angry\aug_0_1915.jpeg,angry
data/train\angry\aug_0_1922.jpeg,angry
data/train\angry\aug_0_1923.jpeg,angry
data/train\angry\aug_0_1930.jpeg,angry
data/train\angry\aug_0_1936.jpeg,angry
data/train\angry\aug_0_1940.jpeg,angry
data/train\angry\aug_0_1941.jpeg,angry
data/train\angry\aug_0_195.jpeg,angry
data/train\angry\aug_0_1950.jpeg,angry
data/train\angry\aug_0_1953.jpeg,angry
data/train\angry\aug_0_1965.jpeg,angry
data/train\angry\aug_0_1966.jpeg,angry
data/train\angry\aug_0_1968.jpeg,angry
data/train\angry\aug_0_1969.jpeg,angry
data/train\angry\aug_0_1981.jpeg,angry
data/train\angry\aug_0_1985.jpeg,angry
data/train\angry\aug_0_1987.jpeg,angry
data/train\angry\aug_0_1988.jpeg,angry
data/train\angry\aug_0_1990.jpeg,angry
data/train\angry\aug_0_1991.jpeg,angry
data/train\angry\aug_0_1992.jpeg,angry
data/train\angry\aug_0_1994.jpeg,angry
data/train\angry\aug_0_1998.jpeg,angry
data/train\angry\aug_0_200.jpeg,angry
data/train\angry\aug_0_2008.jpeg,angry
data/train\angry\aug_0_201.jpeg,angry
data/train\angry\aug_0_2010.jpeg,angry
data/train\angry\aug_0_2013.jpeg,angry
data/train\angry\aug_0_2014.jpeg,angry
data/train\angry\aug_0_2016.jpeg,angry
data/train\angry\aug_0_2018.jpeg,angry
data/train\angry\aug_0_2019.jpeg,angry
data/train\angry\aug_0_2022.jpeg,angry
data/train\angry\aug_0_2026.jpeg,angry
data/train\angry\aug_0_203.jpeg,angry
data/train\angry\aug_0_2030.jpeg,angry
data/train\angry\aug_0_2032.jpeg,angry
data/train\angry\aug_0_2033.jpeg,angry
data/train\angry\aug_0_2035.jpeg,angry
data/train\angry\aug_0_2036.jpeg,angry
data/train\angry\aug_0_2039.jpeg,angry
data/train\angry\aug_0_204.jpeg,angry
data/train\angry\aug_0_2040.jpeg,angry
data/train\angry\aug_0_2053.jpeg,angry
data/train\angry\aug_0_2057.jpeg,angry
data/train\angry\aug_0_2058.jpeg,angry
data/train\angry\aug_0_2061.jpeg,angry
data/train\angry\aug_0_2062.jpeg,angry
data/train\angry\aug_0_2063.jpeg,angry
data/train\angry\aug_0_2067.jpeg,angry
data/train\angry\aug_0_2068.jpeg,angry
data/train\angry\aug_0_2069.jpeg,angry
data/train\angry\aug_0_2074.jpeg,angry
data/train\angry\aug_0_2078.jpeg,angry
data/train\angry\aug_0_208.jpeg,angry
data/train\angry\aug_0_2082.jpeg,angry
data/train\angry\aug_0_2088.jpeg,angry
data/train\angry\aug_0_209.jpeg,angry
data/train\angry\aug_0_2097.jpeg,angry
data/train\angry\aug_0_2099.jpeg,angry
data/train\angry\aug_0_2108.jpeg,angry
data/train\angry\aug_0_211.jpeg,angry
data/train\angry\aug_0_2118.jpeg,angry
data/train\angry\aug_0_2123.jpeg,angry
data/train\angry\aug_0_2124.jpeg,angry
data/train\angry\aug_0_2126.jpeg,angry
data/train\angry\aug_0_2128.jpeg,angry
data/train\angry\aug_0_213.jpeg,angry
data/train\angry\aug_0_2138.jpeg,angry
data/train\angry\aug_0_2139.jpeg,angry
data/train\angry\aug_0_2143.jpeg,angry
data/train\angry\aug_0_2144.jpeg,angry
data/train\angry\aug_0_2145.jpeg,angry
data/train\angry\aug_0_2146.jpeg,angry
data/train\angry\aug_0_2151.jpeg,angry
data/train\angry\aug_0_216.jpeg,angry
data/train\angry\aug_0_2163.jpeg,angry
data/train\angry\aug_0_2167.jpeg,angry
data/train\angry\aug_0_2172.jpeg,angry
data/train\angry\aug_0_2182.jpeg,angry
data/train\angry\aug_0_2183.jpeg,angry
data/train\angry\aug_0_2184.jpeg,angry
data/train\angry\aug_0_2186.jpeg,angry
data/train\angry\aug_0_2187.jpeg,angry
data/train\angry\aug_0_2188.jpeg,angry
data/train\angry\aug_0_2195.jpeg,angry
data/train\angry\aug_0_220.jpeg,angry
data/train\angry\aug_0_2202.jpeg,angry
data/train\angry\aug_0_2204.jpeg,angry
data/train\angry\aug_0_2206.jpeg,angry
data/train\angry\aug_0_2218.jpeg,angry
data/train\angry\aug_0_2220.jpeg,angry
data/train\angry\aug_0_2222.jpeg,angry
data/train\angry\aug_0_2223.jpeg,angry
data/train\angry\aug_0_2226.jpeg,angry
data/train\angry\aug_0_2236.jpeg,angry
data/train\angry\aug_0_2239.jpeg,angry
data/train\angry\aug_0_2245.jpeg,angry
data/train\angry\aug_0_2246.jpeg,angry
data/train\angry\aug_0_2247.jpeg,angry
data/train\angry\aug_0_225.jpeg,angry
data/train\angry\aug_0_2250.jpeg,angry
data/train\angry\aug_0_2251.jpeg,angry
data/train\angry\aug_0_2258.jpeg,angry
data/train\angry\aug_0_2259.jpeg,angry
data/train\angry\aug_0_226.jpeg,angry
data/train\angry\aug_0_2261.jpeg,angry
data/train\angry\aug_0_227.jpeg,angry
data/train\angry\aug_0_2274.jpeg,angry
data/train\angry\aug_0_2275.jpeg,angry
data/train\angry\aug_0_2280.jpeg,angry
data/train\angry\aug_0_2282.jpeg,angry
data/train\angry\aug_0_2295.jpeg,angry
data/train\angry\aug_0_2296.jpeg,angry
data/train\angry\aug_0_23.jpeg,angry
data/train\angry\aug_0_2305.jpeg,angry
data/train\angry\aug_0_2306.jpeg,angry
data/train\angry\aug_0_2307.jpeg,angry
data/train\angry\aug_0_2308.jpeg,angry
data/train\angry\aug_0_2309.jpeg,angry
data/train\angry\aug_0_2310.jpeg,angry
data/train\angry\aug_0_2311.jpeg,angry
data/train\angry\aug_0_2316.jpeg,angry
data/train\angry\aug_0_2318.jpeg,angry
data/train\angry\aug_0_2321.jpeg,angry
data/train\angry\aug_0_2327.jpeg,angry
data/train\angry\aug_0_2328.jpeg,angry
data/train\angry\aug_0_2332.jpeg,angry
data/train\angry\aug_0_2339.jpeg,angry
data/train\angry\aug_0_234.jpeg,angry
data/train\angry\aug_0_2353.jpeg,angry
data/train\angry\aug_0_2358.jpeg,angry
data/train\angry\aug_0_2359.jpeg,angry
data/train\angry\aug_0_2361.jpeg,angry
data/train\angry\aug_0_2365.jpeg,angry
data/train\angry\aug_0_2366.jpeg,angry
data/train\angry\aug_0_2374.jpeg,angry
data/train\angry\aug_0_2379.jpeg,angry
data/train\angry\aug_0_2380.jpeg,angry
data/train\angry\aug_0_2383.jpeg,angry
data/train\angry\aug_0_2384.jpeg,angry
data/train\angry\aug_0_2386.jpeg,angry
data/train\angry\aug_0_2388.jpeg,angry
data/train\angry\aug_0_2389.jpeg,angry
data/train\angry\aug_0_239.jpeg,angry
data/train\angry\aug_0_2390.jpeg,angry
data/train\angry\aug_0_2392.jpeg,angry
data/train\angry\aug_0_240.jpeg,angry
data/train\angry\aug_0_2401.jpeg,angry
data/train\angry\aug_0_2402.jpeg,angry
data/train\angry\aug_0_2404.jpeg,angry
data/train\angry\aug_0_2406.jpeg,angry
data/train\angry\aug_0_2408.jpeg,angry
data/train\angry\aug_0_2411.jpeg,angry
data/train\angry\aug_0_2412.jpeg,angry
data/train\angry\aug_0_2420.jpeg,angry
data/train\angry\aug_0_2428.jpeg,angry
data/train\angry\aug_0_2429.jpeg,angry
data/train\angry\aug_0_2431.jpeg,angry
data/train\angry\aug_0_2438.jpeg,angry
data/train\angry\aug_0_2443.jpeg,angry
data/train\angry\aug_0_2446.jpeg,angry
data/train\angry\aug_0_2449.jpeg,angry
data/train\angry\aug_0_245.jpeg,angry
data/train\angry\aug_0_2450.jpeg,angry
data/train\angry\aug_0_2456.jpeg,angry
data/train\angry\aug_0_2462.jpeg,angry
data/train\angry\aug_0_2463.jpeg,angry
data/train\angry\aug_0_2470.jpeg,angry
data/train\angry\aug_0_2472.jpeg,angry
data/train\angry\aug_0_248.jpeg,angry
data/train\angry\aug_0_2480.jpeg,angry
data/train\angry\aug_0_2481.jpeg,angry
data/train\angry\aug_0_2482.jpeg,angry
data/train\angry\aug_0_2484.jpeg,angry
data/train\angry\aug_0_2498.jpeg,angry
data/train\angry\aug_0_250.jpeg,angry
data/train\angry\aug_0_2503.jpeg,angry
data/train\angry\aug_0_2508.jpeg,angry
data/train\angry\aug_0_2509.jpeg,angry
data/train\angry\aug_0_2510.jpeg,angry
data/train\angry\aug_0_2519.jpeg,angry
data/train\angry\aug_0_2522.jpeg,angry
data/train\angry\aug_0_2529.jpeg,angry
data/train\angry\aug_0_253.jpeg,angry
data/train\angry\aug_0_2530.jpeg,angry
data/train\angry\aug_0_2533.jpeg,angry
data/train\angry\aug_0_2536.jpeg,angry
data/train\angry\aug_0_2549.jpeg,angry
data/train\angry\aug_0_255.jpeg,angry
data/train\angry\aug_0_2551.jpeg,angry
data/train\angry\aug_0_2559.jpeg,angry
data/train\angry\aug_0_256.jpeg,angry
data/train\angry\aug_0_2562.jpeg,angry
data/train\angry\aug_0_2563.jpeg,angry
data/train\angry\aug_0_2565.jpeg,angry
data/train\angry\aug_0_2567.jpeg,angry
data/train\angry\aug_0_2568.jpeg,angry
data/train\angry\aug_0_257.jpeg,angry
data/train\angry\aug_0_2570.jpeg,angry
data/train\angry\aug_0_2573.jpeg,angry
data/train\angry\aug_0_2578.jpeg,angry
data/train\angry\aug_0_2580.jpeg,angry
data/train\angry\aug_0_2583.jpeg,angry
data/train\angry\aug_0_2587.jpeg,angry
data/train\angry\aug_0_2588.jpeg,angry
data/train\angry\aug_0_259.jpeg,angry
data/train\angry\aug_0_2594.jpeg,angry
data/train\angry\aug_0_2596.jpeg,angry
data/train\angry\aug_0_261.jpeg,angry
data/train\angry\aug_0_2610.jpeg,angry
data/train\angry\aug_0_2616.jpeg,angry
data/train\angry\aug_0_2618.jpeg,angry
data/train\angry\aug_0_2619.jpeg,angry
data/train\angry\aug_0_2621.jpeg,angry
data/train\angry\aug_0_2624.jpeg,angry
data/train\angry\aug_0_2626.jpeg,angry
data/train\angry\aug_0_263.jpeg,angry
data/train\angry\aug_0_2632.jpeg,angry
data/train\angry\aug_0_2634.jpeg,angry
data/train\angry\aug_0_2637.jpeg,angry
data/train\angry\aug_0_264.jpeg,angry
data/train\angry\aug_0_2645.jpeg,angry
data/train\angry\aug_0_2649.jpeg,angry
data/train\angry\aug_0_2651.jpeg,angry
data/train\angry\aug_0_2657.jpeg,angry
data/train\angry\aug_0_2658.jpeg,angry
data/train\angry\aug_0_266.jpeg,angry
data/train\angry\aug_0_2660.jpeg,angry
data/train\angry\aug_0_2662.jpeg,angry
data/train\angry\aug_0_2664.jpeg,angry
data/train\angry\aug_0_2665.jpeg,angry
data/train\angry\aug_0_2666.jpeg,angry
data/train\angry\aug_0_2668.jpeg,angry
data/train\angry\aug_0_2672.jpeg,angry
data/train\angry\aug_0_2674.jpeg,angry
data/train\angry\aug_0_2678.jpeg,angry
data/train\angry\aug_0_2682.jpeg,angry
data/train\angry\aug_0_2683.jpeg,angry
data/train\angry\aug_0_2692.jpeg,angry
data/train\angry\aug_0_2696.jpeg,angry
data/train\angry\aug_0_2698.jpeg,angry
data/train\angry\aug_0_27.jpeg,angry
data/train\angry\aug_0_2701.jpeg,angry
data/train\angry\aug_0_2704.jpeg,angry
data/train\angry\aug_0_2705.jpeg,angry
data/train\angry\aug_0_2706.jpeg,angry
data/train\angry\aug_0_2708.jpeg,angry
data/train\angry\aug_0_2709.jpeg,angry
data/train\angry\aug_0_2710.jpeg,angry
data/train\angry\aug_0_2712.jpeg,angry
data/train\angry\aug_0_2713.jpeg,angry
data/train\angry\aug_0_2715.jpeg,angry
data/train\angry\aug_0_2716.jpeg,angry
data/train\angry\aug_0_2728.jpeg,angry
data/train\angry\aug_0_273.jpeg,angry
data/train\angry\aug_0_2730.jpeg,angry
data/train\angry\aug_0_2734.jpeg,angry
data/train\angry\aug_0_2735.jpeg,angry
data/train\angry\aug_0_2736.jpeg,angry
data/train\angry\aug_0_2737.jpeg,angry
data/train\angry\aug_0_2744.jpeg,angry
data/train\angry\aug_0_2746.jpeg,angry
data/train\angry\aug_0_2747.jpeg,angry
data/train\angry\aug_0_275.jpeg,angry
data/train\angry\aug_0_2752.jpeg,angry
data/train\angry\aug_0_2753.jpeg,angry
data/train\angry\aug_0_2759.jpeg,angry
data/train\angry\aug_0_2760.jpeg,angry
data/train\angry\aug_0_2762.jpeg,angry
data/train\angry\aug_0_2774.jpeg,angry
data/train\angry\aug_0_2775.jpeg,angry
data/train\angry\aug_0_2777.jpeg,angry
data/train\angry\aug_0_2779.jpeg,angry
data/train\angry\aug_0_2784.jpeg,angry
data/train\angry\aug_0_2786.jpeg,angry
data/train\angry\aug_0_2787.jpeg,angry
data/train\angry\aug_0_2795.jpeg,angry
data/train\angry\aug_0_2797.jpeg,angry
data/train\angry\aug_0_2798.jpeg,angry
data/train\angry\aug_0_2802.jpeg,angry
data/train\angry\aug_0_2804.jpeg,angry
data/train\angry\aug_0_2809.jpeg,angry
data/train\angry\aug_0_2811.jpeg,angry
data/train\angry\aug_0_2817.jpeg,angry
data/train\angry\aug_0_2824.jpeg,angry
data/train\angry\aug_0_2827.jpeg,angry
data/train\angry\aug_0_2828.jpeg,angry
data/train\angry\aug_0_2831.jpeg,angry
data/train\angry\aug_0_2832.jpeg,angry
data/train\angry\aug_0_2834.jpeg,angry
data/train\angry\aug_0_2835.jpeg,angry
data/train\angry\aug_0_2836.jpeg,angry
data/train\angry\aug_0_2839.jpeg,angry
data/train\angry\aug_0_284.jpeg,angry
data/train\angry\aug_0_2840.jpeg,angry
data/train\angry\aug_0_2842.jpeg,angry
data/train\angry\aug_0_2844.jpeg,angry
data/train\angry\aug_0_2848.jpeg,angry
data/train\angry\aug_0_2857.jpeg,angry
data/train\angry\aug_0_2862.jpeg,angry
data/train\angry\aug_0_2863.jpeg,angry
data/train\angry\aug_0_2883.jpeg,angry
data/train\angry\aug_0_2890.jpeg,angry
data/train\angry\aug_0_2895.jpeg,angry
data/train\angry\aug_0_2898.jpeg,angry
data/train\angry\aug_0_2899.jpeg,angry
data/train\angry\aug_0_2907.jpeg,angry
data/train\angry\aug_0_2910.jpeg,angry
data/train\angry\aug_0_2911.jpeg,angry
data/train\angry\aug_0_2912.jpeg,angry
data/train\angry\aug_0_2918.jpeg,angry
data/train\angry\aug_0_2920.jpeg,angry
data/train\angry\aug_0_2924.jpeg,angry
data/train\angry\aug_0_2925.jpeg,angry
data/train\angry\aug_0_2929.jpeg,angry
data/train\angry\aug_0_2936.jpeg,angry
data/train\angry\aug_0_2938.jpeg,angry
data/train\angry\aug_0_2940.jpeg,angry
data/train\angry\aug_0_2941.jpeg,angry
data/train\angry\aug_0_295.jpeg,angry
data/train\angry\aug_0_2952.jpeg,angry
data/train\angry\aug_0_2953.jpeg,angry
data/train\angry\aug_0_296.jpeg,angry
data/train\angry\aug_0_2960.jpeg,angry
data/train\angry\aug_0_2972.jpeg,angry
data/train\angry\aug_0_2973.jpeg,angry
data/train\angry\aug_0_298.jpeg,angry
data/train\angry\aug_0_2980.jpeg,angry
data/train\angry\aug_0_2986.jpeg,angry
data/train\angry\aug_0_2987.jpeg,angry
data/train\angry\aug_0_2988.jpeg,angry
data/train\angry\aug_0_299.jpeg,angry
data/train\angry\aug_0_2993.jpeg,angry
